Species,SocialMatingSystem,Monopolization,FemalesPerMaleInBreedingGroup,MalesPerBreedingGroup,SocialGroupSize,MaleBodyMass(SSDDataset).in.g,FemaleBodyMass(SSDDataset).in.g,SexualSizeDimorphism,MaleCanineHeight.in.mm,FemaleCanineHeight.in.mm,SexualCanineDimorphism,MaleBodyMass(CanineDataset).in.g,CombinedTestesMass.in.g,MaleBodyMass(TestesDataset).in.g,meanMaleBodyMass.in.g,HeadFlesh,HeadSkin,HeadHair,BodyFlesh,BodySkin,BodyHair,BodyPelageDichrom,GenitalFlesh,GenitalSkin,GenitalHair,SexualOrnamentDimorphism (ExcludingDichromatism),SexualOrnamentDimorphism,TotalOrnamentDimorphism(PreviouslyPublished),OrnamentDescription,CladeForMale-specificOrnamentation,Intra-cladeDavid'sScoreMale-specificOrnamentation,References,Comments
Papio hamadryas,Polygynous,No,1.9,1,85.6,21000,11400,1.842,30.64,11.17,2.743,21000,27.1,20170,20723,0,0,2,0,0,2,0,0,1,0,5,5,13,"Male has long silver shoulder ëcapeí of hair; female lacks this (5). Male has long silvery hair on sides of head; female lacks this (5). Male has red sex skin on rump, which is said to resemble that of the female, but which differs in its morphology from the femaleís swelling (3)",Papionini,14.217,"2-6, 8",
Papio ursinus,Multimale,Yes,2,7,48.7,29800,14800,2.014,46.53,12.12,3.839,29800,69.76,26075,28558,0,0,1,0,0,0,0,0,0,0,1,1,2,Poorly developed mane in males (2),Papionini,-3.775,8-Feb,
Piliocolobus badius,Multimale,No,2.5,8,34.1,8360,8210,1.018,13.31,8.55,1.557,8360,,,8360,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6, 8",
Pithecia pithecia,Monogamous,No,,,4.6,1940,1580,1.228,8.9,7.58,1.174,1940,0.92,1600,1827,0,0,1,0,0,0,1,0,0,0,1,2,22,Sexual dichromatism: male has a white face mask (5) and black pelage (5); these traits are lacking in females,Pitheciinae,0.625,6-Feb,
Pongo abelii,,,,,1.6,77900,35600,2.188,28,16.37,1.71,77900,,,77900,1,0,1,1,0,1,0,0,0,0,4,4,18,"Same as Bornean species, except that the fatty hump on the head is lacking.",Hominidae,3.75,4-Jan,
Pongo pygmaeus,,,,9,1.2,78500,35800,2.193,27,15.95,1.693,78500,35.3,74640,77213,1,0,1,1,0,1,0,0,0,0,4,4,10,"Male has huge cheek flanges (5). Maleís beard is much  larger than femaleís (4). Male has a fatty/fibrous hump on top of head (4). Male has a pendulous throat sac (actually a laryngeal sac); vestigial in female (4). Male has much longer hair on shoulders and body, accentuating his size (5).",Hominidae,7.25,"1-4, 8, 12",
Presbytis comata,Polygynous,Yes,,,6.8,6680,6710,0.996,13.92,9.23,1.508,6680,,,6680,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4-Feb,
Presbytis melalophos,Multimale,No,,,14.5,6590,6470,1.019,13.95,8.15,1.712,6590,,,6590,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4-Feb,
Procolobus verus,Polygynous,Yes,,,7.8,4700,4200,1.119,14.9,7.43,2.005,4700,,,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6",
Propithecus verreauxi,Multimale,No,1.7,2.5,6,3250,2950,1.102,8.41,7.93,1.061,3250,3.24,578,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"3, 4, 7, 8, 11, 13",
