"","Scientific_Name","ABSlopelymph","ABSlopebaso","ABSlopemono","ABSlopeneutro","ABSlopeeos","ABSlopewbc"
"1","Cheirogaleus_medius",-2.66886409736308,-0.125,-0.321501014198783,3.13488843813387,-0.189148073022312,-0.17758470894874
"2","Daubentonia_madagascariensis",-1.04698233635704,-0.00951820083108363,0.0683807143231055,0.976842954110922,0.032042960093528,0.0583569241181265
"3","Eulemur_coronatus",-0.552820512820513,-0.00691025641025641,-0.0194358974358975,0.573153846153846,0.00601282051282051,0.0857743589743589
"4","Eulemur_fulvus_collaris",-0.814136168461919,-0.00534303227235802,0.0248778181607183,0.826127923660418,-0.0309018949504327,0.0839575267002156
"5","Eulemur_fulvus_fulvus",-1.25724637681159,0,0.199275362318841,1.10869565217391,-0.0507246376811594,0.15
"6","Eulemur_fulvus_rufus",-0.898470097357441,-0.00283959202596198,0.0600081131200742,0.759474965229484,0.115090403337969,-0.0649118923834526
"7","Eulemur_fulvus_sanfordi",-1.07064598747866,-0.0017785998861696,0.122438816163916,0.97742363877822,-0.0274378675773098,-0.0906601731601732
"8","Eulemur_macaco_flavifrons",-0.409914820629106,-0.00411506482935055,0.0538744985173556,0.28994054886912,0.0545198848770278,-0.0904175388103959
"9","Eulemur_macaco_macaco",0.143291106514994,-0.00392106170286109,0.0236556359875905,-0.224426921751121,0.0614012409513961,-0.0381872630127543
"10","Eulemur_mongoz",-0.429011710436978,-0.00331916731864042,0.0561873639503755,0.41771818817952,-0.0360700200800312,-0.110752253575676
"11","Eulemur_rubriventer",-0.615273680760407,-0.00435922648312029,0.121435594886922,0.53616846935431,-0.0379711569977057,0.0730378481406566
"12","Galago_senegalensis",-4.32107843137255,-0.0294117647058823,0.00245098039215685,4.44117647058824,-0.102941176470588,-0.0978494623655909
"13","Hapalemur_griseus_alaotrensis",-0.442300572432593,-0.00342832042280527,0.000833664521497048,0.520875719607967,-0.0209599111253657,0.0728440696401554
"14","Lemur_catta",0.079747944362385,0.0117116289101946,0.0449699441613266,-0.181019965518657,0.0499660693087292,0.0147417226238449
"15","Loris_tardigradus",-1.51540041067762,0.0183021806853583,0.024640657084189,1.4558521560575,0.018993839835729,-0.486036960985626
"16","Microcebus_murinus",-2.75,0,3.14018491736755e-16,5.25,-2.5,-0.546153846153847
"17","Mirza_zaza",-0.738259441707718,0.0101806239737274,0.127339901477833,0.420607553366174,0.192508210180624,0.188010673234811
"18","Nycticebus_coucang",-0.49086370744617,0.0201190905810177,-0.196764104414772,0.440863707446168,0.256778539636713,0.0144202453987727
"19","Nycticebus_pygmaeus",-0.690860395045198,0.025008369601607,0.0549659636201316,0.856617565003906,-0.236859725477067,0.144492802142618
"20","Propithecus_coquereli",-0.325896153339138,-0.00355895804291629,-0.0236018311743089,0.361695846208795,0.00124614751595811,-0.0115111887040509
"21","Propithecus_tattersalli",-0.865853658536585,-0.0884146341463414,0.304878048780488,-2.54573170731707,0.634146341463414,0.353658536585366
"22","Varecia_rubra",-0.749480275417706,-0.00671041133676553,0.0455200872202862,0.563796085732301,0.135055688327853,-0.0924351122081822
"23","Varecia_variegata_variegata",-0.29352477843507,-0.004301284968255,0.00292909922208503,0.248010249409522,0.0467756614444516,-0.111143403967047
